round,mu,seed,delta_rep,v_t,observable_fr_step,channel,channel_label,observable_fr_step_z_within_channel
8,0.0,9,2590.8238511176314,2279.951565213909,0.006469262130684006,blind,Weak blind,-0.27060730124272037
9,0.0,9,3370.5038109142333,2650.411229004618,0.002552700806382799,blind,Weak blind,-0.9366673954006489
10,0.0,9,389.85107364464784,678.4546318807406,0.0020025297236823704,blind,Weak blind,-1.0302308488496508
11,0.0,9,759.9208953093039,1103.0028273823555,0.004158178405697864,blind,Weak blind,-0.6636359087408479
12,0.0,9,2768.114033285412,1691.6512097523082,0.006048527567504892,blind,Weak blind,-0.34215846042610815
13,0.0,9,166.22340035549132,903.0294260252267,0.002787728662489447,blind,Weak blind,-0.8966979775858875
14,0.0,9,63.579237041354645,1148.6020705713308,0.00529770556580988,blind,Weak blind,-0.4698451048409127
15,0.0,9,2371.8798878386733,1687.9034214612911,0.0036107226929295386,blind,Weak blind,-0.7567375796712337
16,0.0,9,991.6989249515464,1253.878596169583,0.0022390929092495552,blind,Weak blind,-0.9900003291140018
17,0.0,9,2969.48864737869,847.8913148426218,0.00255345916056642,blind,Weak blind,-0.9365384278147684
18,0.0,9,930.6113851041882,1476.2051437866176,0.006845932166704407,blind,Weak blind,-0.20654986440353554
0,0.05,0,7892.309318653948,6878.405468817917,0.013810212518726517,blind,Weak blind,0.9778128565957794
1,0.05,0,4626.027532704698,4819.123824464972,0.008642121306907197,blind,Weak blind,0.0989144980272953
2,0.05,0,2715.333444508724,2708.184582358168,0.00856002772713218,blind,Weak blind,0.08495346104941402
3,0.05,0,3345.4589543217444,4610.943147677463,0.009559459322153446,blind,Weak blind,0.25491926706243323
4,0.05,0,4412.195680677076,4512.329455105413,0.006555855206170806,blind,Weak blind,-0.2558810689086835
5,0.05,0,4631.50348665053,5912.472916126659,0.006362146268836015,blind,Weak blind,-0.28882368932417346
6,0.05,0,6951.413058811566,6144.087886972178,0.006304789048869668,blind,Weak blind,-0.29857799984508393
7,0.05,0,4661.4925976989325,4066.8815935115563,0.007495855294728709,blind,Weak blind,-0.0960223317025078
8,0.05,0,3056.8772766855545,2971.177651233622,0.00557403161517924,blind,Weak blind,-0.4228524142581646
9,0.05,0,5340.251868327265,3667.7074846809846,0.006457355597185261,blind,Weak blind,-0.2726321557430348
10,0.05,0,4412.088925202261,2719.0758086201386,0.005642652678122446,blind,Weak blind,-0.4111825467747738
11,0.05,0,1025.5188341414323,957.2718756702379,0.008074117783628619,blind,Weak blind,0.00231841568088514
